Mission;Total Sats;Early Deorbit F;Disposal complete R;Reentry after Fail M;Total in Orbit;Screened F;Failed, decaying M;Total Working;Disposal underway R;Out of constellation L;Anom. U;Reserve T;Special S;Drift D;Ascent A;Operational O;Orbit Heights;Phase vs Plane;Plane vs Time
Mission;Total Sats;Early Deorbit;Disposal complete;Reentry after Fail;Total in Orbit;Screened;Failed, decaying;Total Working;Disposal underway;Out of constellation;Anom.;Reserve;Special;Drift;Ascent;Operational;Orbit Heights;Phase vs Plane;Plane vs Time
Starlink Group 4-18 (Launch 49, 2022-053);53;0;0;0;53;0;0;53;0;0;0;0;0;0;0;53;;;
Starlink Group 4-19 (Launch 50, 2022-062);53;0;0;0;53;0;0;53;0;0;0;0;0;0;0;53;;;
Starlink Group 4-21 (Launch 51, 2022-076);53;1;0;0;52;0;0;52;0;1;0;0;0;0;0;51;;;
Starlink Group 3-1 (Launch 52, 2022-077);46;0;0;0;46;0;0;46;0;0;0;0;0;0;0;46;;;
Starlink Group 4-22 (Launch 53, 2022-083);53;0;0;0;53;0;0;53;0;0;0;0;0;0;0;53;;;
Starlink Group 3-2 (Launch 54, 2022-084);46;0;0;0;46;0;0;46;0;0;0;1;0;0;0;45;;;
Starlink Group 4-25 (Launch 55, 2022-086);53;2;0;0;51;0;0;51;0;2;0;0;0;0;0;49;;;
Starlink Group 4-26 (Launch 56, 2022-097);52;1;0;0;51;0;0;51;0;0;0;0;0;0;0;51;;;
Starlink Group 3-3 (Launch 57, 2022-099);46;0;0;0;46;0;0;46;0;0;0;0;0;0;0;46;;;
Starlink Group 4-27 (Launch 58, 2022-101);53;0;0;0;53;0;0;53;0;0;0;0;0;0;0;53;;;
Starlink Group 4-23 (Launch 59, 2022-104);54;3;0;0;51;0;0;51;0;0;0;0;0;0;0;51;;;
Starlink Group 3-4 (Launch 60, 2022-105);46;0;0;0;46;0;0;46;0;0;0;1;0;0;0;45;;;
Starlink Group 4-20/SLTC (Launch 61, 2022-107);51;5;0;0;46;0;0;46;0;0;0;0;0;1;0;45;;;
Starlink Group 4-2/BW3 (Launch 62, 2022-111);34;3;0;0;31;0;0;31;0;0;0;0;0;0;0;31;;;
Starlink Group 4-34 (Launch 63, 2022-114);54;1;0;0;53;0;0;53;0;0;0;0;0;1;5;47;;;
Starlink Group 4-35 (Launch 64, 2022-119);52;1;0;0;51;0;0;51;0;0;0;1;0;1;2;47;;;
Starlink Group 4-29 (Launch 65, 2022-125);52;0;0;0;52;0;0;52;0;0;0;0;0;0;0;52;;;
Starlink Group 4-36 (Launch 66, 2022-136);54;0;0;0;54;0;1;53;0;0;0;0;0;1;4;48;;;
Starlink Group 4-31 (Launch 67, 2022-141);53;0;0;0;53;0;0;53;0;1;0;2;0;4;1;45;;;
Starlink Group 4-37 (Launch 68, 2022-175);54;0;0;0;54;0;0;54;0;0;0;0;0;10;24;20;;;
Starlink Group 5-1 (Launch 69, 2022-177);54;0;0;0;54;0;0;54;0;0;0;0;0;1;27;26;;;
Starlink Group 2-4 (Launch 70, 2023-010);51;1;0;0;50;0;0;50;0;0;0;0;0;49;1;0;;;
Starlink Group 5-2 (Launch 71, 2023-013);56;0;0;0;56;0;0;56;0;0;0;0;0;0;56;0;;;
Starlink Group 2-6 (Launch 72, 2023-014);49;0;0;0;49;1;0;48;0;0;0;0;0;47;1;0;;;
Starlink Group 5-3 (Launch 73, 2023-015);53;0;0;0;53;0;0;53;0;0;0;0;0;52;1;0;;;
Starlink Group 5-4 (Launch 74, 2023-020);55;0;0;0;55;0;0;55;0;0;0;0;0;55;0;0;;;
